Algorithm,Flow,MeanTime,StdTime
Ford-Fulkerson,72,0.015079736709594727,
Edmonds-Karp,72,0.028284311294555664,
Dinic,72,0.012939453125,
Push-Relabel,0,0.0017321109771728516,
Capacity-Scaling,72,0.00782918930053711,
Greedy-Fattest,72,0.014769554138183594,
