Algorithm,slope_time_vs_n_sparse,slope_time_vs_n_dense,slope_time_vs_m_n200,slope_time_vs_density_n200,slope_time_vs_Cmax,slope_time_vs_Cmax_ff_cs_dataset,mean_time_n200_sparse,mean_time_n200_edge_sweep
Capacity-Scaling,0.9431677942029753,2.6773820142356066,1.0772313142124217,1.0772313142124217,0.22560507525017062,0.21299510554655737,0.0009763240814208,0.04551672935485836
Dinic,1.13362232206971,2.1005880639136074,0.5545093494756943,0.5545093494756943,0.4881422298665296,0.08615647185352646,0.000396728515625,0.013168743678501642
Edmonds-Karp,1.0102245499361593,2.7376177856838213,1.1152812039536553,1.1152812039536555,0.28548697087285235,0.053633197411255724,0.0004670619964599,0.07360114370073587
Ford-Fulkerson,1.2045056560677068,2.3941059526329305,0.5486017928871745,0.5486017928871745,1.2447999320544016,0.16131858199861945,0.0005671977996826,0.057396956852504136
Greedy-Fattest,0.9888600471921577,2.856530909183197,1.2375458600536027,1.2375458600536027,0.35404668745392787,0.03728284684739382,0.000633955001831,0.18083562169756204
Push-Relabel,1.2351234019239021,2.640998648148981,0.7625477696157661,0.7625477696157662,0.019045024804037084,0.09892662717032868,0.0003128051757812,0.0041060107094900425
